driver_id,time,latitude,longitude
132,2014-02-01 00:00:25.697679+01,41.856835891,12.477377339
232,2014-02-01 00:00:25.734882+01,41.904251174,12.483919007
2,2014-02-01 00:00:25.774039+01,41.908663053,12.506600923
357,2014-02-01 00:00:26.324962+01,41.835564606,12.472152762
281,2014-02-01 00:00:26.51784+01,41.896548279,12.482238899
341,2014-02-01 00:00:26.863984+01,41.911056839,12.475936682
234,2014-02-01 00:00:26.960028+01,41.897783275,12.469331207
257,2014-02-01 00:00:27.385506+01,41.923360162,12.488157645
224,2014-02-01 00:00:27.428065+01,41.96574508,12.45579244
37,2014-02-01 00:00:27.574064+01,41.897841893,12.468420409
361,2014-02-01 00:00:27.928599+01,41.923435181,12.485541645
178,2014-02-01 00:00:27.939364+01,41.921995924,12.482846064
365,2014-02-01 00:00:28.419832+01,41.894804742,12.476465932
61,2014-02-01 00:00:28.437961+01,41.900311667,12.472738333
248,2014-02-01 00:00:28.50404+01,41.895901992,12.476881887
228,2014-02-01 00:00:28.549193+01,41.897221955,12.472774218
94,2014-02-01 00:00:28.581706+01,41.928461233,12.479831186
53,2014-02-01 00:00:29.059488+01,41.889845921,12.503255686
291,2014-02-01 00:00:29.235522+01,41.856590784,12.492200996
156,2014-02-01 00:00:30.701727+01,41.883757085,12.489684752
187,2014-02-01 00:00:30.815783+01,41.925043333,12.47045
79,2014-02-01 00:00:30.928275+01,41.90028033,12.46277512
89,2014-02-01 00:00:30.982022+01,41.796786565,12.43749026
174,2014-02-01 00:00:31.531419+01,41.889812822,12.474507041
191,2014-02-01 00:00:32.037974+01,41.852240148,12.578588206
297,2014-02-01 00:00:32.757888+01,41.891920358,12.489593543
260,2014-02-01 00:00:33.37694+01,41.864347304,12.464742284
59,2014-02-01 00:00:34.058139+01,41.899844607,12.480956096
122,2014-02-01 00:00:34.288858+01,41.920240249,12.499272999
351,2014-02-01 00:00:34.507561+01,41.910050823,12.496609213
311,2014-02-01 00:00:34.778324+01,41.906475053,12.490216502
362,2014-02-01 00:00:35.126132+01,41.910199341,12.477001647
196,2014-02-01 00:00:35.429059+01,41.892229824,12.469779213
58,2014-02-01 00:00:35.648915+01,41.916105262,12.511176353
331,2014-02-01 00:00:35.884883+01,41.908442932,12.448334293
361,2014-02-01 00:00:36.368744+01,41.925074346,12.483512722
172,2014-02-01 00:00:36.41335+01,41.919179013,12.501689503
352,2014-02-01 00:00:36.523854+01,41.897831401,12.469489882
343,2014-02-01 00:00:36.73799+01,41.892189447,12.469748585
188,2014-02-01 00:00:36.831341+01,41.922666392,12.487126144
318,2014-02-01 00:00:37.834262+01,41.885430589,12.471084449
321,2014-02-01 00:00:38.185878+01,41.89724633,12.47285075
317,2014-02-01 00:00:38.444959+01,41.900394544,12.473058219
295,2014-02-01 00:00:38.498528+01,41.89578956,12.471920421
368,2014-02-01 00:00:38.976359+01,41.891503333,12.474648333
197,2014-02-01 00:00:39.206038+01,41.884861233,12.47064281
259,2014-02-01 00:00:39.32414+01,41.848538325,12.596069883
135,2014-02-01 00:00:39.652213+01,41.933189952,12.511784705
232,2014-02-01 00:00:40.047877+01,41.904993039,12.482844408
315,2014-02-01 00:00:40.161789+01,41.899758858,12.463783707
298,2014-02-01 00:00:40.243432+01,41.892783819,12.471306408
2,2014-02-01 00:00:40.26196+01,41.909039503,12.507911463
248,2014-02-01 00:00:40.741995+01,41.895901992,12.476881887
234,2014-02-01 00:00:40.986267+01,41.897783275,12.469331207
105,2014-02-01 00:00:41.020417+01,41.897143561,12.47295309
132,2014-02-01 00:00:41.036727+01,41.858164612,12.477933193
357,2014-02-01 00:00:41.690124+01,41.837275861,12.47299293
104,2014-02-01 00:00:41.70851+01,41.789482973,12.250817385
281,2014-02-01 00:00:41.883491+01,41.89640304,12.480610161
341,2014-02-01 00:00:42.177551+01,41.91027805,12.475679834
53,2014-02-01 00:00:42.200322+01,41.889666441,12.503322574
224,2014-02-01 00:00:42.248794+01,41.96616432,12.45571381
37,2014-02-01 00:00:42.586446+01,41.897758422,12.468977225
178,2014-02-01 00:00:42.815736+01,41.921330376,12.481374793
291,2014-02-01 00:00:42.997493+01,41.856280424,12.492663904
61,2014-02-01 00:00:43.462612+01,41.900311667,12.472738333
228,2014-02-01 00:00:43.57107+01,41.897221955,12.472774218
257,2014-02-01 00:00:43.614401+01,41.922375117,12.4900558
174,2014-02-01 00:00:43.657101+01,41.889812822,12.474507041
365,2014-02-01 00:00:43.714933+01,41.894924991,12.478111591
94,2014-02-01 00:00:44.01961+01,41.928333726,12.481630483
156,2014-02-01 00:00:45.303166+01,41.882512431,12.491786151
89,2014-02-01 00:00:45.998141+01,41.798526372,12.440031574
187,2014-02-01 00:00:46.18047+01,41.923768333,12.470978333
79,2014-02-01 00:00:46.720251+01,41.90019188,12.46272255
191,2014-02-01 00:00:46.752741+01,41.851939267,12.57890206
343,2014-02-01 00:00:46.952785+01,41.892146462,12.46976789
59,2014-02-01 00:00:49.044843+01,41.901222673,12.480365887
260,2014-02-01 00:00:49.191331+01,41.864347304,12.464742284
351,2014-02-01 00:00:49.464013+01,41.910050823,12.496609213
311,2014-02-01 00:00:49.765884+01,41.90588846,12.489121703
297,2014-02-01 00:00:49.880874+01,41.892615282,12.488370293
196,2014-02-01 00:00:50.425916+01,41.892229824,12.469779213
331,2014-02-01 00:00:50.855511+01,41.907646651,12.449597111
361,2014-02-01 00:00:50.951043+01,41.926709781,12.481824858
